Sr.NO,shortName,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,quoteType,symbol,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,bookValue,trailingEps,priceToBook,heldPercentInsiders,enterpriseValue,earningsQuarterlyGrowth,pegRatio,forwardPE,marketCap
0,Apple Inc.,Consumer Electronics,0.33890998,0.26579002,0.43019,112241000448,0.112,0.309,128217997312,152836000000,80153247744,174.72,0.25,1.038,0.19875,170.714,1.45567,63913000960,122797998080,378323009536,3.916,USD,22.838,0.875,EQUITY,AAPL,7.692,22.697,6.56,16319399936,4.402,6.015,39.69105,0.0007,2910217830400,0.204,1.9,26.634148,2851325607936
1,Microsoft Corporation,Software—Infrastructure,0.49123,0.38498002,0.68825996,83909001216,0.201,0.42523998,90829996032,115856000000,46479876096,303.68,0.222,2.247,0.15248999,50.217,0.49051,125348003840,80353001472,184902991872,16.72,USD,24.585,2.05,EQUITY,MSFT,12.069,24.57,10.75,7496869888,21.335,9.389,14.233889,0.00059,2231653367808,0.214,1.87,28.249302,2276649336832
2,Alphabet Inc.,Internet Content & Information,0.35377,0.29512,0.5694,91651997696,0.324,0.30552,91144003584,146698000000,49490001920,2830.43,0.377,2.928,0.14493,11.329,0.32069,139649007616,28508000256,257637007360,211.278,USD,385.886,2.8,EQUITY,GOOG,6.83,19.307,136.06,315639008,380.044,112.197,7.4476376,0.00034000003,1759692062720,0.356,1.22,20.802807,1872632217600
3,Alphabet Inc.,Internet Content & Information,0.35377,0.29512,0.5694,91651997696,0.324,0.30552,91144003584,146698000000,49490001920,2833.46,0.377,2.928,0.14493,11.329,0.32069,139649007616,28508000256,257637007360,211.278,USD,385.886,2.8,EQUITY,GOOGL,6.838,19.329,135.95,300755008,380.044,112.197,7.4556103,0.077020004,1761694842880,0.356,1.22,20.841927,1871194226688
4,"Amazon.com, Inc.",Internet Retail,0.12595001,0.07101,0.42032,46327001088,0.094,0.052950002,59174998016,197478000000,-787249984,3295.47,0.975,1.136,0.041929998,100.864,0.28806,96048996352,139438997504,469822013440,188.759,USD,928.502,0.905,EQUITY,AMZN,3.662,29.071,72.85,508844000,271.601,64.81,12.133496,0.09884,1720271503360,0.983,1.93,45.236378,1676880117760
5,"Tesla, Inc.",Auto Manufacturers,0.15512,0.07403,0.23107,9930999808,0.568,0.09789,7266999808,6630000000,4644624896,1010.64,4.333,1.385,0.055370003,35.65,0.15641,16094999552,10158000128,46848000000,16.027,USD,48.272,1.002,EQUITY,TSLA,24.547,158.249,8.76,1004259968,26.945,3.062,37.507515,0.19959,1149996892160,3.888,2.52,115.369865,1014945284096
7,NVIDIA Corporation,Semiconductors,0.40203,0.33806,0.64398,8142000128,0.503,0.35454,9758999552,10557000000,5935249920,276.92,0.83,7.145,0.15934,49.697,0.41939998,19298000896,11827000320,24273999872,7.719,USD,9.75,6.437,EQUITY,NVDA,29.858,74.268,5.21,2492000000,9.512,3.243,29.112701,0.04079,724779008000,0.844,1.71,53.151634,690084642816
8,"Meta Platforms, Inc.",Internet Content & Information,0.46401,0.33383998,0.80794,57683001344,0.199,0.39645,54720000000,95280000000,28807624704,221.82,-0.052,3.154,0.17965001,11.574,0.31102,47998001152,14453999616,117929000960,17.634,USD,41.893,2.935,EQUITY,FB,4.586,9.884,14.23,2366279936,47.748,13.974,4.6456394,0.0053100004,540867395584,-0.083,1.13,15.588195,617050013696
9,UnitedHealth Group Incorporated,Healthcare Plans,0.086619996,0.05523,0.24284,25226000384,0.111,0.07857,24195999744,67000000000,24690499584,513.03,0.297,0.72,0.0679,62.929,0.21985,23871000576,46964998144,279320985600,25.345,USD,295.5,0.655,EQUITY,UNH,1.754,20.243,21.65,941851008,74.605,16.111,6.876617,0.00548,489802792960,0.288,1.84,23.696537,483197845504
10,Visa Inc.,Credit Services,0.69612,0.51592,0.97068,15946000384,0.241,0.66452,17735000064,23375000000,12081874944,218.43,0.291,1.395,0.13035,57.8,0.35584998,15921000448,20920000512,25476999168,7.591,USD,12.01,1.07,EQUITY,V,18.203,26.149,,,,,,0.0013600001,463753445376,0.266,,,
